429 578
1 202 31
1 45 16
2 174 23
2 3 89
2 76 191
3 174 74
3 177 33
4 199 19
4 198 10
4 7 16
5 192 57
5 350 8
5 198 19
6 7 9
6 125 30
6 351 17
7 101 30
8 306 9
8 278 221
8 103 52
9 245 38
9 10 22
9 11 12
10 328 732
10 11 12
11 214 110
12 14 27
12 344 22
12 377 37
13 57 3496
13 206 505
13 313 268
14 206 17
14 239 13
15 16 9
15 18 5
15 318 65
16 17 6
16 19 37
17 107 34
17 18 17
18 320 102
19 20 60
19 107 245
20 21 87
20 226 73
21 318 32
21 23 115
22 319 54
22 23 32
22 320 65
23 421 7
23 390 7
24 25 6
24 28 8
24 192 199
25 127 61
25 126 11
26 29 242
26 27 9
26 126 3
27 28 13
27 210 87
28 123 80
29 250 9
29 122 9
30 382 35
30 196 8
30 396 13
31 295 67
31 142 18
31 197 11
32 197 31
32 73 15
32 176 11
33 381 405
33 34 23
33 341 14
34 397 455
34 35 22
35 307 120
35 194 14
36 71 91
36 211 25
36 49 35
37 50 145
37 38 371
37 267 718
38 242 38
38 39 81
39 70 25
39 40 25
40 70 10
40 394 611
41 144 113
41 311 57
41 51 102
42 110 18
42 43 48
42 52 34
43 111 168
43 241 264
44 338 84
44 185 59
44 109 92
45 347 3
46 106 11
46 174 32
46 181 9
47 308 201
47 106 105
47 385 38
48 381 318
48 142 166
48 251 175
48 298 31
49 117 19
49 147 41
50 118 54
50 334 110
51 143 294
51 161 221
52 110 36
52 311 721
53 342 18
53 355 17
53 56 8
54 57 37
54 354 15
54 355 12
55 241 39
55 56 14
55 354 11
56 241 33
57 354 40
58 242 981
58 191 1643
58 143 424
59 139 38
59 60 329
59 323 24
60 61 46
60 85 15
61 156 63
61 85 49
62 65 36
62 63 58
62 392 32
63 64 234
63 339 229
64 108 1132
65 165 29
65 392 22
66 170 60
66 154 19
66 165 74
67 321 60
67 154 219
67 309 128
68 323 253
68 203 164
68 321 6
69 321 66
69 394 341
69 412 190
70 412 152
71 274 97
71 221 76
71 222 14
72 93 107
72 88 57
72 137 85
73 195 53
73 196 44
74 293 71
75 77 29
75 79 146
76 78 51
76 202 28
77 177 86
77 199 149
78 79 166
78 240 183
79 335 45
80 81 90
80 411 329
80 249 328
81 301 127
81 413 399
82 124 46
82 280 54
82 282 38
83 110 43
83 357 346
83 84 272
85 139 375
86 87 128
86 217 458
86 327 85
87 333 162
87 331 123
88 277 87
88 380 144
89 162 22
89 287 91
89 90 71
90 96 117
90 135 110
91 266 36
91 99 51
92 93 62
92 205 132
92 303 4
92 387 123
93 386 73
94 128 36
94 129 58
94 273 48
94 130 30
95 190 102
95 96 31
96 266 119
97 133 34
98 102 66
99 134 41
99 100 57
101 404 3
101 401 25
101 102 233
102 103 118
103 406 331
104 145 16
104 400 6
104 405 18
105 244 44
105 153 6
105 106 8
108 109 52
108 343 41
109 410 272
112 262 13
112 261 3
112 260 85
113 260 203
113 114 150
113 262 88
115 159 245
115 265 48
115 252 154
116 141 100
116 117 9
116 118 27
117 118 17
117 147 33
119 283 24
119 279 25
119 281 31
120 121 110
120 284 267
121 279 220
122 210 157
122 238 8
123 124 131
123 184 141
124 359 48
125 282 72
125 359 19
126 127 58
127 389 98
128 131 50
128 190 242
129 388 73
129 132 20
130 131 29
130 388 7
131 387 12
133 190 84
133 384 368
135 255 39
135 266 4
136 286 76
137 275 59
137 277 52
138 188 18
138 203 221
138 324 309
139 140 31
139 207 100
141 276 115
141 391 424
142 396 12
143 257 676
144 358 262
144 161 224
144 309 481
145 244 211
145 405 23
146 167 20
146 262 203
146 166 8
147 218 76
148 219 17
148 216 7
148 217 14
149 272 39
149 271 98
149 267 54
150 153 41
150 171 220
151 258 24
151 263 30
151 265 15
152 158 49
152 164 46
152 256 2
153 181 9
154 393 93
155 160 50
155 164 92
155 171 108
156 340 17
156 393 13
157 169 85
157 225 12
158 172 42
158 163 84
159 269 55
159 263 129
160 256 5
160 173 142
161 394 47
162 253 99
162 391 127
163 228 9
163 172 38
164 172 89
165 170 64
166 258 11
166 261 117
168 170 19
169 256 54
173 348 58
173 180 180
174 180 8
175 178 117
175 176 29
175 184 195
176 179 52
177 182 20
178 183 155
178 296 22
180 181 39
182 240 92
183 184 120
183 210 124
185 395 22
185 343 21
186 187 36
186 357 12
187 357 11
188 327 37
188 207 23
189 376 364
192 193 166
194 341 15
194 195 42
195 341 42
196 197 18
198 199 20
200 344 23
200 375 7
200 373 45
201 251 10
201 247 11
201 352 20
202 348 19
203 324 95
204 363 1243
204 346 18
204 398 37
205 222 154
205 274 72
206 239 21
207 327 30
208 288 135
208 235 20
208 231 24
209 234 196
211 221 2
211 212 26
212 213 9
212 215 24
213 215 21
213 214 8
214 220 15
215 236 26
216 217 17
216 236 13
218 334 10
218 219 11
219 236 14
220 221 14
220 222 68
223 227 239
223 226 21
223 224 20
224 226 27
224 229 40
225 228 98
225 353 76
228 237 56
229 372 16
229 349 5
230 233 16
230 289 13
230 290 4
231 235 12
231 233 1
232 291 5
232 268 33
232 408 13
233 289 18
234 290 20
234 291 18
235 408 8
237 422 97
237 317 82
238 251 7
238 300 56
239 377 6
242 360 327
243 244 68
245 302 226
245 289 548
246 427 229
246 337 14
246 417 236
247 352 19
247 248 6
248 249 19
248 250 13
249 250 16
252 253 90
252 271 37
253 254 80
258 263 18
259 260 98
261 271 256
264 265 58
267 391 4
268 397 46
268 408 30
270 271 164
274 275 5
275 276 65
276 277 61
278 280 3
278 281 10
279 281 22
280 282 24
283 284 75
285 286 46
286 287 59
287 380 28
288 406 27
288 397 136
290 291 17
292 293 75
293 294 7
294 382 15
295 296 6
295 297 54
297 300 402
297 298 22
298 300 144
299 301 117
301 352 66
304 307 81
305 306 18
305 307 122
305 407 25
306 407 27
308 429 18
310 311 56
312 394 233
314 314 259
314 316 33
315 317 34
316 372 238
316 390 104
318 319 66
319 320 31
322 323 33
324 325 102
326 412 87
329 331 22
330 331 27
332 333 137
333 334 193
335 336 116
335 356 75
338 338 80
340 392 211
340 393 12
342 395 7
342 355 18
343 395 33
344 415 13
345 425 2
345 409 225
345 418 12
346 409 36
346 364 1270
347 353 22
347 421 332
348 353 10
349 368 43
349 374 8
350 351 4
350 359 5
351 359 3
361 368 12
361 371 8
361 362 17
361 378 9
362 368 18
362 363 17
363 364 26
364 365 16
365 366 31
365 376 43
366 416 38
366 367 14
367 414 14
367 415 12
369 374 1
369 373 11
369 375 33
370 378 3
370 374 39
370 375 30
371 414 13
371 378 7
372 373 2
376 416 35
377 416 4
379 380 16
381 396 210
383 384 36
384 429 14
386 388 4
386 387 31
390 422 10
398 409 18
398 418 239
399 400 6
399 404 6
399 403 19
400 402 19
401 404 20
401 403 6
402 403 6
402 405 5
406 407 279
414 415 10
417 426 3
417 428 1
418 419 4
419 420 10
419 427 22
420 424 25
420 425 20
421 422 9
423 424 51
423 425 247
424 428 7
426 427 7
426 428 2
